,1-OFF-NO,1-OFF-YES,DCA-NO,DCA-YES
5276,158.0422681739425,156.76899671313538,154.39551449376117,156.7689967131354
5277,157.2320879342909,156.29165334999254,153.60295559876482,156.29165334999252
5278,156.43016050650104,155.81450616874037,152.81649353162095,155.81450616874037
5279,155.63636043002805,155.33755504846147,152.03605821131833,155.3375550484614
5280,154.85056477453347,154.86079986833764,151.26158062682325,154.86079986833764
5281,170.0201283878966,167.2897063175714,167.77650026435245,167.28970631757142
5282,169.1288082759697,166.8097171578944,166.9174866770585,166.80971715789437
5283,168.24677292972677,166.3299254663325,166.06519642988005,166.3299254663325
5284,167.37387802358327,165.85033112105296,165.21955089700677,165.85033112105296
5285,166.50998220779763,165.370934000323,164.38047267384928,165.370934000323
5286,165.65494703216555,164.89173398251012,163.5478855534209,164.89173398251012
5287,164.80863687205132,164.41273094608175,162.72171450326505,164.41273094608175
5288,163.9709188566713,163.93392476960526,161.90188564291452,163.93392476960526
5289,163.14166279955086,163.45531533174764,161.08832622186742,163.45531533174764
5290,177.76506441311048,175.42041769795534,177.06098441231947,175.42041769795532
5291,176.8363830016752,174.93876560564127,176.1673941783138,174.93876560564127
5292,175.9173426108845,174.4573116615014,175.28078312744123,174.45731166150142
5293,175.00779388494672,173.9760557432858,174.40106981377704,173.97605574328583
5294,174.1075905372545,173.49499772884502,173.52817405376706,173.49499772884502
5295,173.21658927195006,173.0141374961302,172.66201690186395,173.0141374961302
5296,172.33464970788373,172.53347492319259,171.80252062672636,172.53347492319259
5297,171.46163430488045,172.05300988818396,170.9496086879646,172.05300988818394
5298,185.45689808940335,183.55079465807322,186.30599754806443,183.55079465807322
5299,184.4913863421404,183.067479770307,185.37813150388035,183.06747977030707
5300,183.53586395968017,182.58436371068976,184.45749706200186,182.58436371068973
5301,182.5901767121183,182.1014463565543,183.54401000811134,182.10144635655428
5302,181.65417352825284,181.61872758533465,182.63758743043877,181.61872758533463
5303,180.72770641513128,181.1362072745656,181.73814769467486,181.13620727456558
5304,179.81063038004436,180.65388530188255,180.84561041946304,180.65388530188253
5305,193.0961736870136,191.68083721855683,195.51179084162604,191.68083721855683
5306,192.09435433313467,191.19585967251084,194.54994693638787,191.1958596725109
5307,191.10286494256653,190.71108163450398,193.59558367285717,190.711081634504
5308,190.12154656327047,190.22650298145223,192.6486141192073,190.22650298145226
5309,189.15024348772675,189.74212359037307,191.7089526853828,189.742123590373
5310,188.18880317057085,189.25794333838496,190.77651509731143,189.25794333838496
5311,200.68342806353914,199.81054540003643,204.67861333649105,199.81054540003646
5312,199.6458157476406,199.32390533287017,203.68308666454976,199.32390533287023
5313,198.61886640929757,198.83746545354887,202.69528633739822,198.83746545354884
5314,197.6024165223116,198.35122563857178,201.71512275576097,198.35122563857178
5315,196.59630588723667,197.86518576453972,200.74250770042337,197.86518576453966
5316,208.21919078970362,207.9399192231405,213.8067119720533,207.9399192231405
5317,207.146292218444,207.45161677200082,212.77779480519146,207.45161677200082
5318,206.08438221243728,206.96351518842758,211.7568463927189,206.96351518842752
5319,205.03329281540587,206.47561434850326,210.743774517163,206.47561434850326
5320,215.7039842725713,216.06895870849579,222.89633160578717,216.06895870849579
5321,214.59629835824865,215.57899401051685,221.83431342499972,215.57899401051685
5322,213.49991932446798,215.0892308597415,220.78050315695177,215.08923085974146
5323,223.13832387626977,224.19766387672743,231.9477150351426,224.19766387672743
5324,221.99634187737507,223.70603706903066,230.85288256200013,223.70603706903066
5325,230.52271804028,232.32603474845888,240.96110301916343,232.32603474845888
5326,136.22437893257745,132.37645130622866,128.03924104644466,132.37645130622866
5327,135.50193524452408,131.90398156061292,127.33645656829208,131.90398156061292
5328,134.78710170475614,131.43170605140585,126.63917179597911,131.43170605140585
5329,134.0797586964979,130.9596246588536,125.94732242342661,130.9596246588536
5330,133.379789096766,130.48773726330086,125.26084514320709,130.4877372633009
5331,132.68707821171782,130.0160437451906,124.57967762723338,130.01604374519056
5332,132.00151371400057,129.5445439850639,123.90375850789441,129.5445439850639
5333,131.32298558202942,129.07323786356014,123.23302735962497,129.07323786356017
