,Date,Price,Open,High,Low,Vol.,Change %
275,2020-10-01,178.7,178.72,179.49,178.05,10.40M,0.89%
276,2020-10-02,178.54,178.64,179.28,178.22,7.49M,-0.09%
277,2020-10-03,178.54,178.54,178.54,178.54,-,0.00%
278,2020-10-04,178.54,178.54,178.54,178.54,-,0.00%
279,2020-10-05,179.41,179.0,180.11,178.93,6.97M,0.49%
280,2020-10-06,177.3,180.16,180.37,177.05,8.63M,-1.18%
281,2020-10-07,177.22,177.07,177.4,176.45,6.41M,-0.05%
282,2020-10-08,177.85,178.14,178.44,176.7,6.53M,0.36%
283,2020-10-09,181.08,180.13,181.17,179.93,15.98M,1.82%
284,2020-10-10,181.08,180.60500000000002,181.125,180.505,,
285,2020-10-11,181.08,181.08,181.08,181.08,-,0.00%
286,2020-10-12,180.56,180.57,180.81,180.21,4.84M,-0.29%
287,2020-10-13,177.72,178.5,178.55,177.11,8.38M,-1.57%
288,2020-10-14,178.27,179.11,179.59,178.27,9.10M,0.31%
289,2020-10-15,178.92,177.62,179.15,177.61,6.82M,0.36%
290,2020-10-16,178.3,179.22,179.32,178.13,7.26M,-0.35%
291,2020-10-17,178.33,179.28333333333333,179.37333333333333,178.21,,
292,2020-10-18,178.35999999999999,179.34666666666666,179.42666666666665,178.29,,
293,2020-10-19,178.39,179.41,179.48,178.37,6.08M,0.05%
294,2020-10-20,179.25,178.54,179.67,178.08,7.11M,0.48%
295,2020-10-21,180.6,180.47,181.31,180.23,7.31M,0.75%
296,2020-10-22,178.83,178.88,179.03,177.72,8.36M,-0.98%
297,2020-10-23,178.64,179.09,179.2,177.76,5.92M,-0.11%
298,2020-10-24,178.60999999999999,178.97666666666666,179.17999999999998,177.91333333333333,,
299,2020-10-25,178.58,178.86333333333334,179.16,178.06666666666666,,
300,2020-10-26,178.55,178.75,179.14,178.22,5.10M,-0.05%
301,2020-10-27,179.02,178.71,179.43,178.51,5.80M,0.26%
302,2020-10-28,176.13,176.45,176.85,175.44,10.72M,-1.61%
303,2020-10-29,175.4,175.02,176.14,174.83,8.45M,-0.41%
304,2020-10-30,176.2,177.18,177.36,175.95,7.30M,0.46%
305,2020-10-31,176.76999999999998,177.27,177.55,176.34333333333333,,
306,2020-11-01,177.34,177.35999999999999,177.74,176.73666666666665,,
307,2020-11-02,177.91,177.45,177.93,177.13,6.50M,0.97%
308,2020-11-03,178.92,178.95,179.39,178.3,7.45M,0.57%
309,2020-11-04,178.82,178.93,179.19,177.66,11.08M,-0.06%
310,2020-11-05,182.93,181.0,183.29,180.97,16.07M,2.30%
311,2020-11-06,183.19,183.4,183.53,182.19,10.38M,0.14%
312,2020-11-07,180.48666666666668,181.07333333333332,181.17,179.34,,
313,2020-11-08,177.78333333333333,178.74666666666667,178.81,176.48999999999998,,
314,2020-11-09,175.08,176.42,176.45,173.64,29.74M,-4.43%
315,2020-11-10,175.66,176.75,176.91,175.66,11.34M,0.33%
316,2020-11-11,174.9,174.7,175.28,174.43,8.99M,-0.43%
317,2020-11-12,175.96,176.04,176.76,175.84,7.16M,0.61%
318,2020-11-13,177.16,177.65,177.8,176.84,6.47M,0.68%
319,2020-11-14,177.15666666666667,177.51,177.83666666666667,176.85,,
320,2020-11-15,177.15333333333334,177.37,177.87333333333333,176.86,,
321,2020-11-16,177.15,177.23,177.91,176.87,8.35M,-0.01%
322,2020-11-17,176.5,177.25,177.44,176.09,8.16M,-0.37%
323,2020-11-18,175.49,176.26,176.86,175.35,7.37M,-0.57%
324,2020-11-19,175.16,174.3,175.22,174.17,6.69M,-0.19%
325,2020-11-20,175.69,176.12,176.38,175.58,6.38M,0.30%
326,2020-11-21,174.53666666666666,175.78,176.0,174.31333333333333,,
327,2020-11-22,173.38333333333333,175.44,175.62,173.04666666666668,,
328,2020-11-23,172.23,175.1,175.24,171.78,15.42M,-1.97%
329,2020-11-24,169.59,169.3,169.69,168.86,18.83M,-1.53%
330,2020-11-25,169.51,169.98,170.52,169.24,10.29M,-0.05%
331,2020-11-26,168.64999999999998,168.44,169.175,168.01,,
332,2020-11-27,167.79,166.9,167.83,166.78,10.57M,-1.01%
333,2020-11-28,167.41666666666666,166.82666666666668,167.6966666666667,166.53,,
334,2020-11-29,167.04333333333332,166.75333333333333,167.56333333333333,166.28,,
335,2020-11-30,166.67,166.68,167.43,166.03,13.10M,-0.67%
336,2020-12-01,170.18,169.76,170.48,169.3,13.47M,2.11%
337,2020-12-02,171.46,170.57,171.76,170.15,9.17M,0.75%
338,2020-12-03,172.81,172.64,172.85,171.08,10.24M,0.79%
339,2020-12-04,172.32,172.78,173.32,171.59,10.10M,-0.28%
340,2020-12-05,173.17666666666665,172.70666666666668,173.97666666666666,171.89666666666668,,
341,2020-12-06,174.03333333333333,172.63333333333333,174.63333333333333,172.20333333333332,,
342,2020-12-07,174.89,172.56,175.29,172.51,10.52M,1.49%
343,2020-12-08,175.5,175.51,175.93,174.72,6.33M,0.35%
344,2020-12-09,172.5,173.92,174.04,171.24,10.74M,-1.71%
345,2020-12-10,172.17,172.9,173.58,171.7,6.55M,-0.19%
346,2020-12-11,172.49,172.25,173.32,172.11,6.08M,0.19%
347,2020-12-12,172.17333333333335,172.13666666666666,173.05333333333334,171.71,,
